Date,Open,High,Low,Close,Adj Close,Volume
2018-08-07,225.000000,230.750000,223.500000,226.800003,226.800003,16046724
2018-08-08,228.449997,229.300003,223.600006,224.800003,224.800003,9371088
2018-08-09,225.949997,232.500000,222.000000,230.600006,230.600006,12895636
2018-08-10,232.899994,233.699997,222.199997,223.699997,223.699997,11685692
2018-08-13,218.399994,218.399994,213.500000,216.300003,216.300003,12726787
2018-08-14,216.000000,217.649994,213.050003,215.100006,215.100006,10074719
2018-08-16,208.000000,210.899994,205.350006,208.800003,208.800003,14309862
2018-08-17,212.199997,216.699997,211.000000,215.199997,215.199997,13308267
2018-08-20,216.899994,222.800003,215.600006,221.850006,221.850006,10506489
2018-08-21,223.050003,223.449997,218.100006,218.850006,218.850006,7890862
2018-08-23,218.500000,218.500000,212.050003,214.800003,214.800003,9896492
2018-08-24,214.000000,225.000000,212.250000,224.050003,224.050003,12032977
2018-08-27,225.949997,227.500000,222.500000,225.500000,225.500000,9338893
2018-08-28,227.050003,231.899994,225.550003,230.300003,230.300003,15432343
2018-08-29,233.399994,238.250000,227.350006,228.050003,228.050003,31404401
2018-08-30,229.850006,231.050003,226.149994,230.000000,230.000000,24136924
2018-08-31,229.000000,230.600006,224.000000,227.699997,227.699997,15184001
2018-09-03,228.899994,230.250000,226.750000,228.449997,228.449997,7897757
2018-09-04,228.649994,229.600006,221.649994,224.800003,224.800003,11341666
2018-09-05,224.000000,230.000000,220.699997,229.449997,229.449997,10415515
2018-09-06,230.949997,230.949997,225.699997,229.899994,229.899994,13519245
2018-09-07,229.350006,233.699997,226.699997,230.250000,230.250000,24336043
2018-09-10,233.000000,233.800003,222.199997,223.500000,223.500000,18259846
2018-09-11,225.000000,227.399994,218.000000,219.649994,219.649994,14276023
2018-09-12,220.750000,225.800003,219.000000,223.600006,223.600006,8849353
2018-09-14,228.800003,236.449997,226.050003,235.600006,235.600006,17674079
2018-09-17,235.449997,237.750000,232.149994,234.899994,234.899994,13008924
2018-09-18,235.000000,235.000000,228.000000,230.149994,230.149994,13228698
2018-09-19,230.750000,232.350006,227.000000,230.100006,230.100006,18255648
2018-09-21,230.949997,235.300003,221.100006,230.449997,230.449997,42361028
2018-09-24,232.500000,237.550003,228.250000,229.899994,229.899994,20942520
2018-09-25,230.199997,232.899994,226.699997,230.399994,230.399994,16770608
